sector,latitude,longitude
sector 1,28.3663,76.9456
sector 2,28.5095,77.032
sector 3,28.4909,77.0176
sector 4,28.4738,77.0107
sector 5,28.4794,77.0176
sector 6,28.4745,77.0262
sector 7,28.4644,77.0143
sector 8,28.3738,76.897
sector 9,28.4603,77.0
sector 10,28.4537,77.0009
sector 10a,28.4469,77.0106
sector 11,28.4531,77.0202
sector 12,28.4723,77.032
sector 13,28.4757,77.0392
sector 14,28.4711,77.0454
sector 15,28.4621,77.0464
sector 16,28.4684,77.0521
sector 17,28.4791,77.0608
sector 17a,28.4785,77.06
sector 17b,28.4806,77.0663
sector 18,28.4908,77.069
sector 19,28.504,77.0748
sector 20,28.5106,77.0857
sector 21,28.5134,77.0723
sector 22,28.5072,77.064
sector 23,28.5121,77.0478
sector 24,28.4939,77.1038
sector 25,28.4844,77.086
sector 26,28.4757,77.1032
sector 27,28.4658,77.0917
sector 28,28.4728,77.0865
sector 29,28.4669,77.0663
sector 30,28.4604,77.0579
sector 31,28.4528,77.0498
sector 32,28.4472,77.0406
sector 33,28.442,77.0207
sector 34,28.4294,77.0048
sector 35,28.4155,77.0022
sector 36,28.416,76.9914
sector 37,28.4375,76.9999
sector 37a,28.4419,76.9924
sector 37c,28.4515,76.9882
sector 37d,28.4478,76.9703
sector 38,28.4347,77.043
sector 39,28.4434,77.0515
sector 40,28.4498,77.0567
sector 41,28.4557,77.0632
sector 42,28.4576,77.102
sector 43,28.4629,77.0772
sector 44,28.4485,77.0759
sector 45,28.4466,77.066
sector 46,28.4374,77.0586
sector 47,28.4276,77.0492
sector 48,28.4177,77.0359
sector 49,28.4121,77.048
sector 50,28.4178,77.0628
sector 51,28.432,77.0686
sector 52,28.4379,77.0785
sector 53,28.4433,77.0948
sector 54,28.4348,77.1089
sector 55,28.4281,77.11
sector 56,28.4245,77.0991
sector 57,28.4232,77.0752
sector 58,28.42,77.1105
sector 59,28.4051,77.1097
sector 60,28.4003,77.0975
sector 61,28.405,77.0963
sector 62,28.4139,77.0886
sector 63,28.3971,77.0867
sector 63a,28.3923,77.0888
sector 64,28.3903,77.0752
sector 65,28.403,77.069
sector 66,28.3925,77.0541
sector 67,28.3859,77.0608
sector 67a,28.396,77.0372
sector 68,28.3853,77.0484
sector 69,28.3966,77.0341
sector 70,28.3968,77.0233
sector 71,28.4104,77.0281
sector 72,28.4225,77.0211
sector 73,28.4072,77.0118
sector 74,28.4158,77.0118
sector 75,28.3925,77.0089
sector 76,28.3935,76.9888
sector 77,28.3801,76.9845
sector 78,28.3733,76.9729
sector 79,28.3624,76.9787
sector 80,28.3659,76.9557
sector 81,28.3867,76.9485
sector 82,28.3935,76.96
sector 82a,28.3858,76.9686
sector 83,28.3986,76.9647
sector 84,28.3979,76.9736
sector 85,28.4042,76.9513
sector 86,28.3986,76.9384
sector 87,28.3936,76.9312
sector 88,28.422,76.9571
sector 88a,28.4347,76.9557
sector 88b,28.4446,76.9542
sector 89,28.4253,76.9439
sector 90,28.4085,76.9369
sector 91,28.4014,76.9225
sector 92,28.4079,76.9153
sector 93,28.4153,76.9326
sector 94,28.4223,76.9312
sector 95,28.4172,76.9081
sector 96,28.3966,76.8735
sector 97,28.4086,76.8793
sector 98,28.4192,76.8995
sector 99,28.464,76.9614
sector 99a,28.4561,76.9542
sector 100,28.4613,76.9708
sector 101,28.4672,76.9801
sector 102,28.475,76.9715
sector 103,28.4949,76.9845
sector 104,28.4788,76.996
sector 105,28.4952,77.0114
sector 106,28.5007,77.0003
sector 107,28.5052,76.9729
sector 108,28.5134,76.983
sector 109,28.5073,77.0089
sector 110,28.5145,77.0197
sector 111,28.5238,77.032
sector 112,28.5189,77.0183
sector 113,28.5287,77.0233
sector 114,28.5334,77.0118
sector 115,28.5385,77.0061
gwal pahari,28.4484,77.021
manesar,28.3515,76.9428
